entry,at,order
"-- starting hand #75 (id: yond1awtgfnn)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:08:07.976Z,176525328797600
"The admin approved the player ""failing235 @ -b3KrGCTsz"" participation with a stack of 80000.",2025-12-09T04:08:04.274Z,176525328427401
"The player ""failing235 @ -b3KrGCTsz"" requested a seat.",2025-12-09T04:08:04.274Z,176525328427400
"The player ""failing235 @ -b3KrGCTsz"" quits the game with a stack of 0.",2025-12-09T04:07:50.728Z,176525327072800
"-- ending hand #74 --",2025-12-09T04:07:44.721Z,176525326472101
"""Nate Higgers @ s9p1qZMXYl"" collected 80000 from pot with Straight, 7 High (combination: 7♦, 6♦, 5♣, 4♦, 3♦)",2025-12-09T04:07:44.721Z,176525326472100
"River: 7♦, 5♠, 6♦, 3♦ [J♠]",2025-12-09T04:07:40.676Z,176525326067600
"Turn: 7♦, 5♠, 6♦ [3♦]",2025-12-09T04:07:36.655Z,176525325665500
"Flop:  [7♦, 5♠, 6♦]",2025-12-09T04:07:32.648Z,176525325264800
"""Nate Higgers @ s9p1qZMXYl"" shows a 4♦, 5♣.",2025-12-09T04:07:28.646Z,176525324864601
"""failing235 @ -b3KrGCTsz"" shows a K♣, K♦.",2025-12-09T04:07:28.646Z,176525324864600
"Some players choose to not run it twice.",2025-12-09T04:07:27.806Z,176525324780601
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:07:27.806Z,176525324780600
"Remaining players decide whether to run it twice.",2025-12-09T04:07:26.663Z,176525324666301
"""failing235 @ -b3KrGCTsz"" calls 40000 and go all in",2025-12-09T04:07:26.663Z,176525324666300
"""Nate Higgers @ s9p1qZMXYl"" raises to 40000 and go all in",2025-12-09T04:07:25.784Z,176525324578400
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:07:17.186Z,176525323718607
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:07:17.186Z,176525323718606
"Your hand is 4♦, 5♣",2025-12-09T04:07:17.186Z,176525323718605
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (40000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (40000)",2025-12-09T04:07:17.186Z,176525323718603
"The player ""Nate Higgers @ s9p1qZMXYl"" joined the game with a stack of 40000.",2025-12-09T04:07:17.186Z,176525323718602
"The player ""failing235 @ -b3KrGCTsz"" joined the game with a stack of 40000.",2025-12-09T04:07:17.186Z,176525323718601
"-- starting hand #74 (id: hdqjzaz9cxdj)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:07:17.186Z,176525323718600
"The admin approved the player ""failing235 @ -b3KrGCTsz"" participation with a stack of 40000.",2025-12-09T04:07:16.204Z,176525323620401
"The player ""failing235 @ -b3KrGCTsz"" requested a seat.",2025-12-09T04:07:16.204Z,176525323620400
"The player ""failing235 @ -b3KrGCTsz"" quits the game with a stack of 0.",2025-12-09T04:06:48.156Z,176525320815600
"-- ending hand #73 --",2025-12-09T04:06:42.154Z,176525320215401
"""Nate Higgers @ s9p1qZMXYl"" collected 40000 from pot with A High (combination: A♠, 9♥, 8♦, 6♦, 5♦)",2025-12-09T04:06:42.154Z,176525320215400
"River: 9♥, 5♦, 4♣, 6♦ [8♦]",2025-12-09T04:06:38.152Z,176525319815200
"Turn: 9♥, 5♦, 4♣ [6♦]",2025-12-09T04:06:34.130Z,176525319413000
"Flop:  [9♥, 5♦, 4♣]",2025-12-09T04:06:30.114Z,176525319011400
"""Nate Higgers @ s9p1qZMXYl"" shows a 3♥, A♠.",2025-12-09T04:06:26.034Z,176525318603401
"""failing235 @ -b3KrGCTsz"" shows a 3♠, J♥.",2025-12-09T04:06:26.034Z,176525318603400
"Some players choose to not run it twice.",2025-12-09T04:06:25.211Z,176525318521101
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:06:25.211Z,176525318521100
"Remaining players decide whether to run it twice.",2025-12-09T04:06:23.117Z,176525318311701
"""Nate Higgers @ s9p1qZMXYl"" calls 20000 and go all in",2025-12-09T04:06:23.117Z,176525318311700
"""failing235 @ -b3KrGCTsz"" raises to 20000 and go all in",2025-12-09T04:06:21.984Z,176525318198400
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:06:18.413Z,176525317841307
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:06:18.413Z,176525317841306
"Your hand is 3♥, A♠",2025-12-09T04:06:18.413Z,176525317841305
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (20000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (20000)",2025-12-09T04:06:18.413Z,176525317841303
"The player ""Nate Higgers @ s9p1qZMXYl"" joined the game with a stack of 20000.",2025-12-09T04:06:18.413Z,176525317841302
"The player ""failing235 @ -b3KrGCTsz"" joined the game with a stack of 20000.",2025-12-09T04:06:18.413Z,176525317841301
"-- starting hand #73 (id: oopzmxxiuzby)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:06:18.413Z,176525317841300
"The admin approved the player ""failing235 @ -b3KrGCTsz"" participation with a stack of 20000.",2025-12-09T04:05:54.267Z,176525315426701
"The player ""failing235 @ -b3KrGCTsz"" requested a seat.",2025-12-09T04:05:54.267Z,176525315426700
"The player ""failing235 @ -b3KrGCTsz"" quits the game with a stack of 0.",2025-12-09T04:02:37.151Z,176525295715100
"-- ending hand #72 --",2025-12-09T04:02:29.148Z,176525294914802
"""Nate Higgers @ s9p1qZMXYl"" collected 4750 from pot with Three of a Kind, A's on the second run  (combination: A♦, A♣, A♥, K♦, Q♠)",2025-12-09T04:02:29.148Z,176525294914801
"""Nate Higgers @ s9p1qZMXYl"" collected 4750 from pot with Pair, 4's (combination: 4♠, 4♥, A♦, K♦, Q♣)",2025-12-09T04:02:29.148Z,176525294914800
"River (second run): Q♠, A♣, A♥, 9♣ [5♠]",2025-12-09T04:02:25.096Z,176525294509600
"Turn (second run): Q♠, A♣, A♥ [9♣]",2025-12-09T04:02:21.009Z,176525294100900
"Flop (second run):  [Q♠, A♣, A♥]",2025-12-09T04:02:16.990Z,176525293699000
"River: Q♣, 4♠, 5♥, 3♠ [4♥]",2025-12-09T04:02:12.956Z,176525293295600
"Turn: Q♣, 4♠, 5♥ [3♠]",2025-12-09T04:02:08.935Z,176525292893500
"Flop:  [Q♣, 4♠, 5♥]",2025-12-09T04:02:04.886Z,176525292488600
"""Nate Higgers @ s9p1qZMXYl"" shows a K♦, A♦.",2025-12-09T04:02:00.857Z,176525292085702
"""failing235 @ -b3KrGCTsz"" shows a K♠, J♦.",2025-12-09T04:02:00.857Z,176525292085701
"Uncalled bet of 10500 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T04:02:00.857Z,176525292085700
"All players in hand choose to run it twice.",2025-12-09T04:02:00.055Z,176525292005501
"""failing235 @ -b3KrGCTsz"" chooses to  run it twice.",2025-12-09T04:02:00.055Z,176525292005500
"""Nate Higgers @ s9p1qZMXYl"" chooses to  run it twice.",2025-12-09T04:01:59.935Z,176525291993500
"Remaining players decide whether to run it twice.",2025-12-09T04:01:58.500Z,176525291850001
"""failing235 @ -b3KrGCTsz"" calls 4750 and go all in",2025-12-09T04:01:58.500Z,176525291850000
"""Nate Higgers @ s9p1qZMXYl"" raises to 15250 and go all in",2025-12-09T04:01:57.573Z,176525291757300
"""failing235 @ -b3KrGCTsz"" raises to 1000",2025-12-09T04:01:54.636Z,176525291463600
"""Nate Higgers @ s9p1qZMXYl"" raises to 300",2025-12-09T04:01:51.994Z,176525291199400
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:01:47.556Z,176525290755605
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:01:47.556Z,176525290755604
"Your hand is K♦, A♦",2025-12-09T04:01:47.556Z,176525290755603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (4750) | #2 ""Nate Higgers @ s9p1qZMXYl"" (15250)",2025-12-09T04:01:47.556Z,176525290755601
"-- starting hand #72 (id: axalfyolbdpr)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:01:47.556Z,176525290755600
"""Nate Higgers @ s9p1qZMXYl"" shows a 6♥.",2025-12-09T04:01:45.289Z,176525290528900
"""failing235 @ -b3KrGCTsz"" shows a A♦.",2025-12-09T04:01:44.111Z,176525290411100
"-- ending hand #71 --",2025-12-09T04:01:43.244Z,176525290324402
"""Nate Higgers @ s9p1qZMXYl"" collected 400 from pot",2025-12-09T04:01:43.244Z,176525290324401
"Uncalled bet of 500 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T04:01:43.244Z,176525290324400
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T04:01:42.405Z,176525290240500
"""Nate Higgers @ s9p1qZMXYl"" bets 500",2025-12-09T04:01:41.369Z,176525290136900
"River: 6♦, 4♣, 8♥, 9♦ [9♥]",2025-12-09T04:01:32.512Z,176525289251200
"""failing235 @ -b3KrGCTsz"" calls 100",2025-12-09T04:01:31.684Z,176525289168400
"""Nate Higgers @ s9p1qZMXYl"" bets 100",2025-12-09T04:01:30.753Z,176525289075300
"Turn: 6♦, 4♣, 8♥ [9♦]",2025-12-09T04:01:26.237Z,176525288623700
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:01:25.369Z,176525288536900
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:01:24.476Z,176525288447600
"Flop:  [6♦, 4♣, 8♥]",2025-12-09T04:01:16.430Z,176525287643000
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:01:15.568Z,176525287556800
"""failing235 @ -b3KrGCTsz"" calls 100",2025-12-09T04:01:12.536Z,176525287253600
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:01:02.914Z,176525286291405
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:01:02.914Z,176525286291404
"Your hand is 6♥, 4♥",2025-12-09T04:01:02.914Z,176525286291403
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (4950) | #2 ""Nate Higgers @ s9p1qZMXYl"" (15050)",2025-12-09T04:01:02.914Z,176525286291401
"-- starting hand #71 (id: 0pql96y7dpvv)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:01:02.914Z,176525286291400
"-- ending hand #70 --",2025-12-09T04:00:56.835Z,176525285683502
"""failing235 @ -b3KrGCTsz"" collected 800 from pot with Pair, 10's (combination: 10♣, 10♥, A♥, 6♠, 5♥)",2025-12-09T04:00:56.835Z,176525285683501
"""failing235 @ -b3KrGCTsz"" shows a 10♣, 6♠.",2025-12-09T04:00:56.835Z,176525285683500
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:00:55.981Z,176525285598100
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:54.247Z,176525285424700
"River: 3♣, 10♥, A♥, 2♦ [5♥]",2025-12-09T04:00:54.109Z,176525285410900
"""failing235 @ -b3KrGCTsz"" calls 200",2025-12-09T04:00:53.275Z,176525285327500
"""Nate Higgers @ s9p1qZMXYl"" bets 200",2025-12-09T04:00:52.404Z,176525285240400
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:48.443Z,176525284844300
"Turn: 3♣, 10♥, A♥ [2♦]",2025-12-09T04:00:48.156Z,176525284815600
"""failing235 @ -b3KrGCTsz"" calls 100",2025-12-09T04:00:47.321Z,176525284732100
"""Nate Higgers @ s9p1qZMXYl"" bets 100",2025-12-09T04:00:46.458Z,176525284645800
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:43.612Z,176525284361200
"Flop:  [3♣, 10♥, A♥]",2025-12-09T04:00:42.500Z,176525284250000
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:41.668Z,176525284166800
"""Nate Higgers @ s9p1qZMXYl"" calls 100",2025-12-09T04:00:40.737Z,176525284073700
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:00:38.664Z,176525283866405
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:00:38.664Z,176525283866404
"Your hand is 8♠, 8♥",2025-12-09T04:00:38.664Z,176525283866403
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (4550) | #2 ""Nate Higgers @ s9p1qZMXYl"" (15450)",2025-12-09T04:00:38.664Z,176525283866401
"-- starting hand #70 (id: qbejokncwvef)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:00:38.664Z,176525283866400
"""Nate Higgers @ s9p1qZMXYl"" shows a 2♣, 7♠.",2025-12-09T04:00:35.035Z,176525283503500
"""failing235 @ -b3KrGCTsz"" shows a 9♥.",2025-12-09T04:00:34.705Z,176525283470500
"""failing235 @ -b3KrGCTsz"" shows a 7♦.",2025-12-09T04:00:34.632Z,176525283463200
"-- ending hand #69 --",2025-12-09T04:00:34.353Z,176525283435302
"""failing235 @ -b3KrGCTsz"" collected 200 from pot",2025-12-09T04:00:34.353Z,176525283435301
"Uncalled bet of 100 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:00:34.353Z,176525283435300
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T04:00:33.548Z,176525283354800
"""failing235 @ -b3KrGCTsz"" bets 100",2025-12-09T04:00:31.481Z,176525283148100
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:00:29.855Z,176525282985500
"River: 8♠, K♥, J♠, K♣ [10♣]",2025-12-09T04:00:29.621Z,176525282962100
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:28.756Z,176525282875600
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:00:27.862Z,176525282786200
"Turn: 8♠, K♥, J♠ [K♣]",2025-12-09T04:00:27.550Z,176525282755000
"""failing235 @ -b3KrGCTsz"" checks",2025-12-09T04:00:26.726Z,176525282672600
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:00:25.866Z,176525282586600
"Flop:  [8♠, K♥, J♠]",2025-12-09T04:00:24.455Z,176525282445500
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T04:00:23.647Z,176525282364700
"""failing235 @ -b3KrGCTsz"" calls 100",2025-12-09T04:00:22.327Z,176525282232700
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:00:21.238Z,176525282123805
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:00:21.238Z,176525282123804
"Your hand is 2♣, 7♠",2025-12-09T04:00:21.238Z,176525282123803
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (4450) | #2 ""Nate Higgers @ s9p1qZMXYl"" (15550)",2025-12-09T04:00:21.238Z,176525282123801
"-- starting hand #69 (id: nuw38g2bqvbp)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:00:21.238Z,176525282123800
"""failing235 @ -b3KrGCTsz"" shows a 8♣.",2025-12-09T04:00:16.539Z,176525281653900
"""failing235 @ -b3KrGCTsz"" shows a 7♠.",2025-12-09T04:00:16.459Z,176525281645900
"Undealt cards: 8♠, 6♣, A♠, 3♣ [7♥]",2025-12-09T04:00:16.282Z,176525281628200
"-- ending hand #68 --",2025-12-09T04:00:14.635Z,176525281463502
"""failing235 @ -b3KrGCTsz"" collected 1000 from pot",2025-12-09T04:00:14.635Z,176525281463501
"Uncalled bet of 600 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:00:14.635Z,176525281463500
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T04:00:13.808Z,176525281380800
"""failing235 @ -b3KrGCTsz"" bets 600",2025-12-09T04:00:11.931Z,176525281193100
"Turn: 8♠, 6♣, A♠ [3♣]",2025-12-09T04:00:08.037Z,176525280803700
"""Nate Higgers @ s9p1qZMXYl"" calls 200",2025-12-09T04:00:07.223Z,176525280722300
"""failing235 @ -b3KrGCTsz"" bets 200",2025-12-09T04:00:05.727Z,176525280572700
"Flop:  [8♠, 6♣, A♠]",2025-12-09T04:00:02.962Z,176525280296200
"""Nate Higgers @ s9p1qZMXYl"" calls 300",2025-12-09T04:00:01.731Z,176525280173100
"""failing235 @ -b3KrGCTsz"" raises to 300",2025-12-09T04:00:00.603Z,176525280060300
"""Nate Higgers @ s9p1qZMXYl"" calls 100",2025-12-09T03:59:58.503Z,176525279850300
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T03:59:56.740Z,176525279674005
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T03:59:56.740Z,176525279674004
"Your hand is 4♥, 6♥",2025-12-09T03:59:56.740Z,176525279674003
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3950) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16050)",2025-12-09T03:59:56.740Z,176525279674001
"-- starting hand #68 (id: x3pvgxugmqoj)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T03:59:56.740Z,176525279674000
"""Nate Higgers @ s9p1qZMXYl"" shows a J♠.",2025-12-09T03:59:52.338Z,176525279233800
"""failing235 @ -b3KrGCTsz"" shows a 4♣.",2025-12-09T03:59:51.123Z,176525279112300
"Undealt cards: 8♠, 7♦, A♣ [J♦, 9♦]",2025-12-09T03:59:50.157Z,176525279015700
"-- ending hand #67 --",2025-12-09T03:59:49.423Z,176525278942302
"""failing235 @ -b3KrGCTsz"" collected 600 from pot",2025-12-09T03:59:49.423Z,176525278942301
"Uncalled bet of 200 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T03:59:49.423Z,176525278942300
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T03:59:48.602Z,176525278860200
"""failing235 @ -b3KrGCTsz"" bets 200",2025-12-09T03:59:43.039Z,176525278303900
"""Nate Higgers @ s9p1qZMXYl"" checks",2025-12-09T03:59:41.255Z,176525278125500
"Flop:  [8♠, 7♦, A♣]",2025-12-09T03:59:39.213Z,176525277921300
"""Nate Higgers @ s9p1qZMXYl"" calls 300",2025-12-09T03:59:38.353Z,176525277835300
"""failing235 @ -b3KrGCTsz"" raises to 300",2025-12-09T03:59:37.060Z,176525277706000
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T03:59:34.211Z,176525277421105
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T03:59:34.211Z,176525277421104
"Your hand is 10♥, J♠",2025-12-09T03:59:34.211Z,176525277421103
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3650) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16350)",2025-12-09T03:59:34.211Z,176525277421101
"-- starting hand #67 (id: hdsvky7yz9h6)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T03:59:34.211Z,176525277421100
"""failing235 @ -b3KrGCTsz"" shows a K♣.",2025-12-09T03:59:32.528Z,176525277252800
"""Nate Higgers @ s9p1qZMXYl"" shows a 6♦.",2025-12-09T03:59:30.515Z,176525277051500
"Undealt cards:  [2♥, 6♥, 4♥, 6♣, 10♠]",2025-12-09T03:59:28.189Z,176525276818900
"-- ending hand #66 --",2025-12-09T03:59:26.893Z,176525276689302
"""failing235 @ -b3KrGCTsz"" collected 100 from pot",2025-12-09T03:59:26.893Z,176525276689301
"Uncalled bet of 50 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T03:59:26.893Z,176525276689300
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T03:59:26.056Z,176525276605600
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T03:59:23.856Z,176525276385605
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T03:59:23.856Z,176525276385604
"Your hand is 6♦, J♦",2025-12-09T03:59:23.856Z,176525276385603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3600) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16400)",2025-12-09T03:59:23.856Z,176525276385601
"-- starting hand #66 (id: 7fulusncyezn)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T03:59:23.856Z,176525276385600
"-- ending hand #65 --",2025-12-09T03:59:15.817Z,176525275581702
"""Nate Higgers @ s9p1qZMXYl"" collected 3600 from pot with Two Pair, 4's & 3's on the second run  (combination: 4♣, 4♦, 3♣, 3♦, A♣)",2025-12-09T03:59:15.817Z,176525275581701
"""failing235 @ -b3KrGCTsz"" collected 3600 from pot with Pair, 2's (combination: 2♣, 2♠, Q♦, J♥, 8♣)",2025-12-09T03:59:15.817Z,176525275581700
"River (second run): 4♣, 2♠, 8♣, 3♦ [4♦]",2025-12-09T03:59:11.813Z,176525275181300
"Turn (second run): 4♣, 2♠, 8♣ [3♦]",2025-12-09T03:59:07.792Z,176525274779200
"River: 4♣, 2♠, 8♣, J♥ [Q♦]",2025-12-09T03:59:03.787Z,176525274378700
"Turn: 4♣, 2♠, 8♣ [J♥]",2025-12-09T03:58:59.711Z,176525273971100
"""Nate Higgers @ s9p1qZMXYl"" shows a A♣, 3♣.",2025-12-09T03:58:55.695Z,176525273569502
"""failing235 @ -b3KrGCTsz"" shows a 2♣, 6♣.",2025-12-09T03:58:55.695Z,176525273569501
"Uncalled bet of 12800 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T03:58:55.695Z,176525273569500
"All players in hand choose to run it twice.",2025-12-09T03:58:54.887Z,176525273488701
"""failing235 @ -b3KrGCTsz"" chooses to  run it twice.",2025-12-09T03:58:54.887Z,176525273488700
"""Nate Higgers @ s9p1qZMXYl"" chooses to  run it twice.",2025-12-09T03:58:54.829Z,176525273482900
"Remaining players decide whether to run it twice.",2025-12-09T03:58:53.285Z,176525273328501
"""failing235 @ -b3KrGCTsz"" calls 3100 and go all in",2025-12-09T03:58:53.285Z,176525273328500
"""Nate Higgers @ s9p1qZMXYl"" bets 15900 and go all in",2025-12-09T03:58:51.503Z,176525273150300
"Flop:  [4♣, 2♠, 8♣]",2025-12-09T03:58:46.642Z,176525272664200
"""failing235 @ -b3KrGCTsz"" calls 500",2025-12-09T03:58:45.762Z,176525272576200
"""Nate Higgers @ s9p1qZMXYl"" raises to 500",2025-12-09T03:58:44.675Z,176525272467500
"""failing235 @ -b3KrGCTsz"" calls 100",2025-12-09T03:58:40.512Z,176525272051200
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T03:58:39.427Z,176525271942705
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T03:58:39.427Z,176525271942704
"Your hand is A♣, 3♣",2025-12-09T03:58:39.427Z,176525271942703
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3600) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16400)",2025-12-09T03:58:39.427Z,176525271942701
"-- starting hand #65 (id: j0xn6exg4ana)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T03:58:39.427Z,176525271942700
"""failing235 @ -b3KrGCTsz"" shows a 9♥.",2025-12-09T03:58:36.042Z,176525271604200
"""failing235 @ -b3KrGCTsz"" shows a 8♦.",2025-12-09T03:58:35.972Z,176525271597200
"Undealt cards:  [7♠, 3♣, J♣, 10♦, 4♣]",2025-12-09T03:58:33.603Z,176525271360300
"-- ending hand #64 --",2025-12-09T03:58:32.822Z,176525271282202
"""failing235 @ -b3KrGCTsz"" collected 100 from pot",2025-12-09T03:58:32.822Z,176525271282201
"Uncalled bet of 50 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T03:58:32.822Z,176525271282200
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T03:58:31.978Z,176525271197800
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T03:58:26.816Z,176525270681605
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T03:58:26.816Z,176525270681604
"Your hand is 5♣, 9♠",2025-12-09T03:58:26.816Z,176525270681603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3550) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16450)",2025-12-09T03:58:26.816Z,176525270681601
"-- starting hand #64 (id: ihtgzhtbjuck)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T03:58:26.816Z,176525270681600
"""failing235 @ -b3KrGCTsz"" shows a 9♥.",2025-12-09T03:58:21.941Z,176525270194100
"-- ending hand #63 --",2025-12-09T03:58:20.213Z,176525270021302
"""Nate Higgers @ s9p1qZMXYl"" collected 100 from pot",2025-12-09T03:58:20.213Z,176525270021301
"Uncalled bet of 50 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T03:58:20.213Z,176525270021300
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T03:58:19.399Z,176525269939900
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T03:58:11.824Z,176525269182405
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T03:58:11.824Z,176525269182404
"Your hand is 4♣, K♦",2025-12-09T03:58:11.824Z,176525269182403
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3600) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16400)",2025-12-09T03:58:11.824Z,176525269182401
"-- starting hand #63 (id: jmixrnpzbmx9)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T03:58:11.824Z,176525269182400
"""failing235 @ -b3KrGCTsz"" shows a 6♣, 4♥.",2025-12-09T03:58:06.801Z,176525268680100
"Undealt cards:  [4♦, 8♠, J♠, 5♥, 2♠]",2025-12-09T03:58:05.933Z,176525268593300
"""Nate Higgers @ s9p1qZMXYl"" shows a Q♠, A♦.",2025-12-09T03:58:05.223Z,176525268522300
"-- ending hand #62 --",2025-12-09T03:58:04.503Z,176525268450302
"""Nate Higgers @ s9p1qZMXYl"" collected 200 from pot",2025-12-09T03:58:04.503Z,176525268450301
"Uncalled bet of 200 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T03:58:04.503Z,176525268450300
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T03:58:03.698Z,176525268369800
"""Nate Higgers @ s9p1qZMXYl"" raises to 300",2025-12-09T03:57:59.692Z,176525267969200
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T03:57:56.741Z,176525267674105
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T03:57:56.741Z,176525267674104
"Your hand is Q♠, A♦",2025-12-09T03:57:56.741Z,176525267674103
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (3700) | #2 ""Nate Higgers @ s9p1qZMXYl"" (16300)",2025-12-09T03:57:56.741Z,176525267674101
"-- starting hand #62 (id: afnli7pag0eo)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T03:57:56.741Z,176525267674100
"""failing235 @ -b3KrGCTsz"" shows a 3♣, 8♠.",2025-12-09T03:57:54.525Z,176525267452500
"""Nate Higgers @ s9p1qZMXYl"" shows a 4♦, 5♣.",2025-12-09T03:57:52.772Z,176525267277200
"Undealt cards:  [10♥, 3♥, 2♦, K♥, 6♥]",2025-12-09T03:57:50.420Z,176525267042000
"-- ending hand #61 --",2025-12-09T03:57:49.411Z,176525266941102
