entry,at,order
"""Nate Higgers @ s9p1qZMXYl"" collected 100 from pot",2025-12-09T04:18:19.675Z,176525389967501
"Uncalled bet of 50 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T04:18:19.675Z,176525389967500
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T04:18:18.858Z,176525389885800
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:18:17.535Z,176525389753505
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:18:17.535Z,176525389753504
"Your hand is Q♣, 9♠",2025-12-09T04:18:17.535Z,176525389753503
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (200000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170000)",2025-12-09T04:18:17.535Z,176525389753501
"-- starting hand #85 (id: idp9m68bp9g6)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:18:17.535Z,176525389753500
"-- ending hand #84 --",2025-12-09T04:18:11.523Z,176525389152302
"""Nate Higgers @ s9p1qZMXYl"" collected 170000 from pot with Two Pair, J's & 7's (combination: J♠, J♦, 7♠, 7♣, K♥)",2025-12-09T04:18:11.523Z,176525389152301
"""failing235 @ -b3KrGCTsz"" collected 170000 from pot with Two Pair, J's & 7's (combination: J♠, J♦, 7♠, 7♣, K♠)",2025-12-09T04:18:11.523Z,176525389152300
"River: 7♠, J♠, 7♣, J♦ [4♦]",2025-12-09T04:18:07.519Z,176525388751900
"Turn: 7♠, J♠, 7♣ [J♦]",2025-12-09T04:18:03.467Z,176525388346700
"Flop:  [7♠, J♠, 7♣]",2025-12-09T04:17:59.418Z,176525387941800
"""Nate Higgers @ s9p1qZMXYl"" shows a K♥, Q♣.",2025-12-09T04:17:55.415Z,176525387541501
"""failing235 @ -b3KrGCTsz"" shows a 2♠, K♠.",2025-12-09T04:17:55.415Z,176525387541500
"Some players choose to not run it twice.",2025-12-09T04:17:54.584Z,176525387458401
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:17:54.584Z,176525387458400
"Remaining players decide whether to run it twice.",2025-12-09T04:17:53.769Z,176525387376901
"""failing235 @ -b3KrGCTsz"" calls 170000",2025-12-09T04:17:53.769Z,176525387376900
"""Nate Higgers @ s9p1qZMXYl"" raises to 170000 and go all in",2025-12-09T04:17:52.826Z,176525387282600
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:17:49.526Z,176525386952607
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:17:49.526Z,176525386952606
"Your hand is K♥, Q♣",2025-12-09T04:17:49.526Z,176525386952605
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (200000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170000)",2025-12-09T04:17:49.526Z,176525386952603
"The player ""Nate Higgers @ s9p1qZMXYl"" joined the game with a stack of 170000.",2025-12-09T04:17:49.526Z,176525386952602
"The player ""failing235 @ -b3KrGCTsz"" joined the game with a stack of 200000.",2025-12-09T04:17:49.526Z,176525386952601
"-- starting hand #84 (id: jufg6ubmuocf)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:17:49.526Z,176525386952600
"The admin approved the player ""failing235 @ -b3KrGCTsz"" participation with a stack of 200000.",2025-12-09T04:17:37.713Z,176525385771301
"The player ""failing235 @ -b3KrGCTsz"" requested a seat.",2025-12-09T04:17:37.713Z,176525385771300
"The player ""failing235 @ -b3KrGCTsz"" quits the game with a stack of 0.",2025-12-09T04:13:00.384Z,176525358038400
"-- ending hand #83 --",2025-12-09T04:12:54.378Z,176525357437801
"""Nate Higgers @ s9p1qZMXYl"" collected 22000 from pot with Three of a Kind, 7's (combination: 7♠, 7♥, 7♣, J♥, 9♠)",2025-12-09T04:12:54.378Z,176525357437800
"River: 7♠, 6♥, 7♥, 7♣ [2♦]",2025-12-09T04:12:50.372Z,176525357037200
"Turn: 7♠, 6♥, 7♥ [7♣]",2025-12-09T04:12:46.318Z,176525356631800
"Flop:  [7♠, 6♥, 7♥]",2025-12-09T04:12:42.314Z,176525356231400
"""Nate Higgers @ s9p1qZMXYl"" shows a 9♠, J♥.",2025-12-09T04:12:38.310Z,176525355831001
"""failing235 @ -b3KrGCTsz"" shows a 3♥, 4♥.",2025-12-09T04:12:38.310Z,176525355831000
"Some players choose to not run it twice.",2025-12-09T04:12:37.508Z,176525355750801
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:12:37.508Z,176525355750800
"Remaining players decide whether to run it twice.",2025-12-09T04:12:36.351Z,176525355635101
"""Nate Higgers @ s9p1qZMXYl"" calls 11000",2025-12-09T04:12:36.351Z,176525355635100
"""failing235 @ -b3KrGCTsz"" raises to 11000 and go all in",2025-12-09T04:12:34.850Z,176525355485000
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:12:32.694Z,176525355269405
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:12:32.694Z,176525355269404
"Your hand is 9♠, J♥",2025-12-09T04:12:32.694Z,176525355269403
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (11000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (159000)",2025-12-09T04:12:32.694Z,176525355269401
"-- starting hand #83 (id: jyvgmqxxilp5)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:12:32.694Z,176525355269400
"-- ending hand #82 --",2025-12-09T04:12:26.692Z,176525354669201
"""Nate Higgers @ s9p1qZMXYl"" collected 159000 from pot with Pair, 5's (combination: 5♥, 5♠, K♠, 10♣, 9♠)",2025-12-09T04:12:26.692Z,176525354669200
"River: 9♠, K♠, 8♥, 7♣ [5♠]",2025-12-09T04:12:22.674Z,176525354267400
"Turn: 9♠, K♠, 8♥ [7♣]",2025-12-09T04:12:18.671Z,176525353867100
"Flop:  [9♠, K♠, 8♥]",2025-12-09T04:12:14.668Z,176525353466800
"""Nate Higgers @ s9p1qZMXYl"" shows a 5♥, 10♣.",2025-12-09T04:12:10.662Z,176525353066202
"""failing235 @ -b3KrGCTsz"" shows a 10♥, 2♥.",2025-12-09T04:12:10.662Z,176525353066201
"Uncalled bet of 11000 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:12:10.662Z,176525353066200
"Some players choose to not run it twice.",2025-12-09T04:12:09.834Z,176525352983401
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:12:09.834Z,176525352983400
"Remaining players decide whether to run it twice.",2025-12-09T04:12:08.419Z,176525352841901
"""Nate Higgers @ s9p1qZMXYl"" calls 79500 and go all in",2025-12-09T04:12:08.419Z,176525352841900
"""failing235 @ -b3KrGCTsz"" raises to 90500 and go all in",2025-12-09T04:12:03.971Z,176525352397100
"""Nate Higgers @ s9p1qZMXYl"" calls 100",2025-12-09T04:12:01.581Z,176525352158100
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:11:43.747Z,176525350374705
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:11:43.747Z,176525350374704
"Your hand is 5♥, 10♣",2025-12-09T04:11:43.747Z,176525350374703
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (90500) | #2 ""Nate Higgers @ s9p1qZMXYl"" (79500)",2025-12-09T04:11:43.747Z,176525350374701
"-- starting hand #82 (id: 0flgeh4ej3yl)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:11:43.747Z,176525350374700
"-- ending hand #81 --",2025-12-09T04:11:37.744Z,176525349774401
"""Nate Higgers @ s9p1qZMXYl"" collected 79500 from pot with Pair, J's (combination: J♣, J♠, K♣, 7♣, 5♣)",2025-12-09T04:11:37.744Z,176525349774400
"River: J♣, K♣, 3♥, J♠ [2♥]",2025-12-09T04:11:33.742Z,176525349374200
"Turn: J♣, K♣, 3♥ [J♠]",2025-12-09T04:11:29.713Z,176525348971300
"Flop:  [J♣, K♣, 3♥]",2025-12-09T04:11:25.694Z,176525348569400
"""Nate Higgers @ s9p1qZMXYl"" shows a 5♣, 7♣.",2025-12-09T04:11:21.658Z,176525348165802
